compregion_i2t2_cryp,compregionuph5_8hpn,bachelor_s_degree_or_higher,geography,geography_type,high_school_graduate,less_than_high_school_graduate,some_college_or_associate_s_degree,year,type,longitude,latitude
28596,2,3.5,Atherton,Town,12.3,13.6,2.7,2014-01-01T00:00:00.000,Point,-122.2,37.458611
28588,4,2.4,Colma,Town,6.4,6.3,10.4,2014-01-01T00:00:00.000,Point,-122.455556,37.678889
319,6,2.9,Foster City,City,9.7,11.9,2,2014-01-01T00:00:00.000,Point,-122.266389,37.551389
28597,14,1.8,Portola Valley,Town,0,48.1,0,2014-01-01T00:00:00.000,Point,-122.218611,37.375
28607,21,3,Redwood City,City,10.6,16.4,6.6,2014-01-01T00:00:00.000,Point,-122.236111,37.482778
28591,27,0,Ladera,CDP,0,0,0,2014-01-01T00:00:00.000,Point,-122.274167,37.319167
28600,30,3.5,Moss Beach,CDP,8.2,4.8,9.3,2014-01-01T00:00:00.000,Point,-122.512778,37.525278
28613,19,4.1,South San Francisco,City,7.8,14.2,4.4,2014-01-01T00:00:00.000,Point,-122.425556,37.656111
28585,15,3.6,Belmont,City,5.9,20.9,5,2014-01-01T00:00:00.000,Point,-122.291667,37.518056
28588,"",6.1,Daly City,City,8.9,13.4,6.1,2014-01-01T00:00:00.000,Point,-122.468333,37.686389
317,13,3.4,San Mateo,City,9.6,16.1,6.5,2014-01-01T00:00:00.000,Point,-122.313056,37.554167
28608,31,4.6,North Fair Oaks,CDP,13.4,26.7,18.5,2014-01-01T00:00:00.000,Point,-122.203611,37.475278
28607,24,2.2,Emerald Lake Hills,CDP,2,6.2,4.1,2014-01-01T00:00:00.000,Point,-122.266389,37.464444
28587,8,1.4,Hillsborough,Town,6.1,31.1,1.5,2014-01-01T00:00:00.000,Point,-122.356389,37.560278
28586,"",3.3,Brisbane,City,1.7,0,11.5,2014-01-01T00:00:00.000,Point,-122.419167,37.680833
28595,12,2.9,Menlo Park,City,12,22.1,8.7,2014-01-01T00:00:00.000,Point,-122.183333,37.452778
28604,9,4.6,Pacifica,City,4.3,15.1,4.3,2014-01-01T00:00:00.000,Point,-122.485556,37.622778
28611,18,2.3,San Carlos,City,8.4,8.5,4.4,2014-01-01T00:00:00.000,Point,-122.2668,37.4955
317,25,3.3,Highlands-Baywood Park,CDP,13.6,15.7,10.2,2014-01-01T00:00:00.000,Point,-122.343333,37.525
312,5,9.1,East Palo Alto,City,16.4,18.3,17.2,2014-01-01T00:00:00.000,Point,-122.139722,37.466944
28589,22,2.4,Broadmoor,CDP,8,21.2,3,2014-01-01T00:00:00.000,Point,-122.478889,37.6925
28598,11,3.7,Millbrae,City,7.8,7,5.3,2014-01-01T00:00:00.000,Point,-122.401389,37.600833
28592,28,0,Loma Mar,CDP,0,100,0,2014-01-01T00:00:00.000,Point,-122.3075,37.271111
28607,20,3.2,Woodside,Town,9.4,0,6.8,2014-01-01T00:00:00.000,Point,-122.259722,37.420833
28590,7,1.4,Half Moon Bay,City,4,9.5,0.7,2014-01-01T00:00:00.000,Point,-122.436944,37.458889
28610,1,3,San Bruno,City,7.7,7.7,7,2014-01-01T00:00:00.000,Point,-122.425278,37.625278
28605,32,0,Pescadero,CDP,0,44.4,0,2014-01-01T00:00:00.000,Point,-122.381389,37.255
28590,23,2.4,El Granada,CDP,4.3,9.2,9.1,2014-01-01T00:00:00.000,Point,-122.473333,37.503889
28595,34,3.6,West Menlo Park,CDP,0,37.8,5.7,2014-01-01T00:00:00.000,Point,-122.203056,37.433611
28599,29,0,Montara,CDP,0,3.3,0,2014-01-01T00:00:00.000,Point,-122.506389,37.539722
28587,16,3.7,Burlingame,City,8.3,20.1,7.4,2014-01-01T00:00:00.000,Point,-122.363611,37.583333
28597,26,0,La Honda,CDP,0,0,11.9,2014-01-01T00:00:00.000,Point,-122.197222,37.399444
